gene,x,y
1,73.98911237295266,85.98693837937992
1,73.98058747837224,85.97802285874612
1,74.01270148156216,85.97981145886259
1,74.04092215693154,85.97615225094833
1,74.01981098500994,86.0453490881881
1,73.9886243535361,85.95187979463228
1,74.00068303373509,85.99649664501158
1,73.97867859829442,86.00782991457629
1,74.02822980440534,86.02944750092084
1,74.01226960944811,86.00100399959962
1,73.99842996413413,85.96173500746366
1,73.99494659766219,86.02541124505039
1,73.96852842086426,85.99760926445246
1,74.02934216437689,86.01690463105982
1,73.99050807217095,85.9983614832193
1,73.9768619493703,85.96752817707346
1,73.96393602073427,86.01681503909337
1,74.01009392089293,85.97384650032478
1,74.01360673540594,85.98830967216368
1,73.99766015969561,86.0145896866854
1,74.00891915991635,86.03965396027296
1,74.02437085493757,86.03156122899476
1,73.99804017557827,85.982969356607
1,74.04248528705608,86.02289025913177
1,73.96436943188961,86.01938457852295
1,74.01226278877004,86.01036717730378
1,73.97377540924577,86.04067680250489
1,73.9544621140618,86.01747499654732
1,73.98983739709202,85.98399840020747
1,73.98359651504877,85.97587599665941
1,74.03919966154211,86.00500163786195
1,73.99381142552252,85.97790116688982
1,74.01149837372637,85.97713033160264
1,74.02562075686068,85.99517117001521
1,74.02338198304349,86.00127357838484
1,74.01734041698666,85.9556626964622
1,73.9514870064096,85.99099778241644
1,74.01100420780223,85.98859244002674
1,73.98176037736522,85.9668759327439
1,74.04579549660643,85.98245546879369
1,73.99316907596908,86.02231888434717
1,74.00948963001696,86.01350100812904
1,73.97576484021751,85.97611581247588
1,74.00926265027282,86.04074573304143
1,74.01869880427776,85.96531055682362
1,74.00599764846642,85.9692351531964
1,73.9570865096186,85.99231043383283
1,73.96037085971149,86.00381178284267
1,73.97824892377292,85.99439898104333
1,74.04255865628303,85.991097832199
1,74.0294965081419,86.01927600906012
1,73.97853283315442,86.00347580314485
2,74.02044964791097,86.00184559511601
2,74.00671806103934,86.03525378958001
2,73.98390886089093,86.0339173126448
2,73.98701112936868,86.00273849467318
2,73.9887874663757,85.95902220798304
2,74.02365908736488,85.98746968034743
