gene1,gene2
1,2
1,6
1,19
3,2
3,91
4,2
4,10
5,2
5,6
5,10
5,19
7,2
7,6
7,10
7,19
8,2
8,10
8,19
9,2
9,6
9,10
9,19
10,80
11,10
12,10
13,10
14,6
15,10
16,10
17,10
18,10
18,80
20,19
22,10
22,91
23,19
24,6
24,10
25,19
26,80
27,6
27,19
29,10
30,6
31,19
32,19
33,19
35,10
36,6
37,2
37,6
38,10
39,10
40,19
40,80
41,10
42,10
43,19
44,10
45,2
45,6
46,10
47,19
48,19
48,80
49,10
50,10
51,10
51,19
52,10
53,10
54,2
54,6
54,10
54,19
55,10
56,10
56,80
57,80
59,10
60,6
61,19
62,10
63,6
63,10
64,19
64,80
65,19
66,10
67,19
68,6
69,2
69,10
70,10
71,10
72,10
73,6
73,80
74,6
76,6
77,19
77,80
78,2
79,10
79,19
80,19
81,2
81,80
82,10
82,91
83,6
84,19
84,80
85,10
86,80
87,80
88,6
89,2
89,6
90,80
92,10
93,80
94,10
95,80
96,91
97,10
98,10
99,80
100,10
100,91
