target,hub
100,hub1
11,hub3
12,hub3
13,hub1
14,hub3
16,hub3
17,hub3
18,hub2
19,hub3
2,hub1
21,hub1
22,hub3
23,hub3
24,hub1
25,hub3
26,hub2
27,hub1
28,hub3
29,hub3
3,hub3
31,hub1
32,hub1
33,hub1
34,hub3
35,hub2
37,hub2
38,hub3
39,hub3
40,hub2
41,hub3
42,hub3
44,hub1
46,hub3
48,hub3
49,hub3
50,hub3
51,hub2
54,hub3
55,hub3
56,hub3
59,hub3
6,hub3
60,hub1
61,hub3
63,hub1
67,hub1
69,hub3
7,hub3
70,hub3
71,hub3
72,hub1
73,hub3
74,hub3
76,hub1
77,hub3
78,hub2
8,hub3
80,hub1
81,hub3
82,hub2
84,hub1
85,hub1
86,hub3
87,hub3
9,hub3
91,hub3
92,hub3
93,hub1
94,hub2
95,hub1
96,hub3
97,hub3
99,hub2
