target,hub
1,hub2
100,hub1
11,hub3
13,hub1
14,hub1
15,hub1
17,hub3
18,hub3
19,hub2
2,hub1
23,hub1
24,hub3
26,hub2
27,hub1
29,hub3
3,hub3
30,hub3
33,hub1
34,hub1
36,hub1
37,hub1
38,hub1
39,hub2
4,hub2
41,hub1
42,hub2
43,hub1
44,hub1
45,hub2
46,hub1
48,hub1
49,hub1
5,hub2
50,hub2
51,hub2
54,hub2
55,hub2
56,hub3
57,hub3
58,hub1
59,hub3
6,hub1
60,hub2
62,hub3
63,hub1
64,hub1
65,hub2
67,hub1
68,hub1
7,hub1
70,hub3
71,hub1
72,hub1
74,hub2
75,hub1
76,hub1
78,hub3
79,hub1
8,hub1
80,hub3
81,hub1
82,hub3
83,hub3
85,hub2
86,hub2
87,hub3
89,hub3
9,hub3
91,hub3
92,hub3
93,hub2
94,hub3
95,hub2
96,hub3
97,hub1
98,hub2
99,hub2
